uniprot_id,gene_symbol,short_name,full_name,mass,length,domain_count,chain_tiling_segments,alignment,domains_top3,locations,keywords,Has transmembrane domains,transmembrane_count,biological_process,first_letter,kegg_families,membrane_depth,percent_disordered,rvis_percentile,tissue_tau
O14727,APAF1,APAF-1,Apoptotic protease-activating factor 1,142,1248,3,1,tumor_suppressor,CARD; NB-ARC; Interpropeller linker,apoptosome; cytosol; extracellular exosome; extracellular region; ficolin-1-rich granule lumen; nucleus; protein-containing complex; secretory granule lumen,,No,0,Apoptosis,A,,0,19.0,10.91500512,0.51
O14746,TERT,TP2,Telomerase reverse transcriptase,127,1132,15,4,unknown,Reverse transcriptase; RNA-interacting domain 1; GQ motif,"chromosome, telomeric region; cytosol; mitochondrial nucleoid; nuclear speck; nuclear telomere cap complex; nucleolus; nucleoplasm; nucleus; plasma membrane; PML body; RNA-directed RNA polymerase complex; telomerase catalytic core complex; telomerase holoenzyme complex; TERT-RMRP complex",,No,0,,T,DNA replication proteins,3,32.0,17.36039998,
O15169,AXIN1,hAxin,Axin-1,96,862,17,1,tumor_suppressor,RGS; DIX; Disordered,beta-catenin destruction complex; cell cortex; cell periphery; cytoplasm; cytoplasmic vesicle; cytosol; lateral plasma membrane; microtubule cytoskeleton; nucleolus; nucleus; perinuclear region of cytoplasm; plasma membrane; Wnt signalosome,,No,0,Apoptosis; Wnt signaling pathway,A,Protein phosphatases and associated proteins,1,73.9,49.21390278,0.23
O43524,FOXO3,FOXO3,Forkhead box protein O3,71,673,6,1,tumor_suppressor,Disordered; Required for mitochondrial import; Disordered,chromatin; cytoplasm; cytosol; mitochondrial matrix; mitochondrial outer membrane; nucleoplasm; nucleus; protein-containing complex; RNA polymerase II transcription repressor complex,,No,0,Apoptosis; Transcription; Transcription regulation,F,Transcription factors,3,88.7,45.94903921,0.27
P00533,EGFR,EGFR,Epidermal growth factor receptor,134,1210,3,3,oncogene,"Protein kinase; Important for dimerization, phosphorylation and activation; Disordered","basal plasma membrane; basolateral plasma membrane; cell junction; cell surface; ciliary basal body; cilium; clathrin-coated endocytic vesicle membrane; cytoplasm; cytosol; early endosome membrane; endoplasmic reticulum membrane; endosome; endosome membrane; extracellular space; focal adhesion; Golgi apparatus; Golgi membrane; intracellular vesicle; membrane; membrane raft; multivesicular body, internal vesicle lumen; nuclear membrane; nucleus; perinuclear region of cytoplasm; plasma membrane; protein-containing complex; receptor complex; ruffle membrane; Shc-EGFR complex",,Yes,1,Host-virus interaction,E,Protein kinases; Exosome,1,63.4,2.517920607,0.39
P01106,MYC,bHLHe39,Myc proto-oncogene protein,51,454,7,1,oncogene,bHLH; Disordered; Basic motif,axon; chromatin; euchromatin; Myc-Max complex; nuclear body; nucleolus; nucleoplasm; nucleus; perinuclear region of cytoplasm; protein-containing complex; RNA polymerase II transcription repressor complex; spindle,,No,0,Transcription; Transcription regulation,M,Transcription factors; Messenger RNA biogenesis,3,,,0.37
P01116,KRAS,KRAS,GTPase KRas,22,189,2,4,oncogene,Hypervariable region; Effector region,cytoplasm; cytoplasmic side of plasma membrane; cytosol; endoplasmic reticulum membrane; focal adhesion; Golgi membrane; membrane; mitochondrial outer membrane; plasma membrane,,No,0,,K,Membrane trafficking; GTP-binding proteins,1,45.0,37.93747365,0.23
P01133,EGF,EGF,Pro-epidermal growth factor,134,1207,13,3,unknown,EGF-like 1; EGF-like 2; calcium-binding; EGF-like 3,clathrin-coated endocytic vesicle membrane; extracellular exosome; extracellular region; extracellular space; lysosomal membrane; plasma membrane; platelet alpha granule lumen,,Yes,1,,E,Cytokines and neuropeptides,0,30.5,39.54581049,0.81
P01137,TGFB1,TGFB1,Transforming growth factor beta-1 proprotein,44,390,4,2,both,Straightjacket domain; Arm domain; Bowtie tail,axon; blood microparticle; cell surface; collagen-containing extracellular matrix; cytoplasm; extracellular matrix; extracellular region; extracellular space; Golgi lumen; neuronal cell body; nucleus; plasma membrane; platelet alpha granule lumen,,No,0,,T,Chaperones and folding catalysts; Cytokines and neuropeptides; Glycosaminoglycan binding proteins,0,35.1,50.50298175,0.3
P01308,INS,INS,Insulin,12,110,9,9,unknown,,endoplasmic reticulum lumen; endoplasmic reticulum-Golgi intermediate compartment membrane; endosome lumen; extracellular region; extracellular space; Golgi lumen; Golgi membrane; secretory granule lumen; transport vesicle,,No,0,Carbohydrate metabolism; Glucose metabolism,I,Cytokines and neuropeptides,0,100.0,48.68983796,0.87
