uniprot_id,gene_symbol,short_name,background_setting,height,Sex,Politics,Skintone Hue ,Skintone Saturation,Skintone Lightness,hexcode,Aesthetics,Age,hexcode
O14727,APAF1,APAF-1,,142,Female,pro-Control,0,51.0,10.9,#34121a,,19.0,#34121a
O14746,TERT,TP2,,127,Female,Maintenance,263,,17.4,,,32.0,
O15169,AXIN1,hAxin,,96,Female,pro-Control,0,23.0,49.2,#996771,Minimalism,73.9,#996771
O43524,FOXO3,FOXO3,,71,Female,pro-Control,69,27.0,45.9,#736c5c,Dark Academia,88.7,#736c5c
P00533,EGFR,EGFR,,134,Male,pro-Growth,55,39.0,2.5,#0c0905,Athlete; Rocketpunk,63.4,#0c0905
P01106,MYC,bHLHe39,,51,Female,pro-Growth,166,37.0,,,Dark Academia,,
P01116,KRAS,KRAS,,22,Female,pro-Growth,138,23.0,37.9,#4d5d51,Cargopunk; Abstract Tech,45.0,#4d5d51
P01133,EGF,EGF,,134,Male,Maintenance,55,81.0,39.5,#755825,Synthwave,30.5,#755825
P01137,TGFB1,TGFB1,,44,Female,Opportunist,263,30.0,50.5,#7175a1,Health Goth; Synthwave; Junglecore,35.1,#7175a1
P01308,INS,INS,,12,Female,Maintenance,111,87.0,48.7,#597f26,Synthwave,100.0,#597f26
P01375,TNF,TNF-a,,26,Male,Maintenance,263,83.0,47.2,#4f63e4,Synthwave; Junglecore,33.5,#4f63e4
P02671,FGA,FGA,,95,Female,Maintenance,69,91.0,12.2,#271f04,Rocketpunk; Junglecore,51.6,#271f04
P04406,GAPDH,GAPDH,,36,Female,Maintenance,83,27.0,23.7,#3a392f,Cargopunk; Rocketpunk,26.9,#3a392f
P04439,HLA-A,HLA-A,,41,Male,Maintenance,97,28.0,,,Rocketpunk; Stickerbomb,35.9,
P04637,TP53,TP53,,44,Female,pro-Control,263,26.0,42.4,#5d618a,Dark Academia; Constructivism; Salvagepunk,78.4,#5d618a
P05019,IGF1,IGF-I,,22,Female,pro-Control,111,44.0,59.3,#7e9669,Synthwave,73.8,#7e9669
P05231,IL6,IL-6,,24,Female,Maintenance,111,53.0,43.9,#596e45,Synthwave,42.9,#596e45
P06400,RB1,Rb,,106,Female,pro-Control,235,20.0,16.8,#252a2e,Minimalism; Dark Academia,33.5,#252a2e
P10145,CXCL8,IL-8,,11,Female,Maintenance,28,68.0,53.0,#b96a46,Synthwave; Junglecore,46.5,#b96a46
P10415,BCL2,BCL2,,26,Male,pro-Growth,14,40.0,38.6,#8a4845,Minimalism,44.8,#8a4845
P14780,MMP9,MMP-9,,78,Female,Maintenance,166,78.0,62.1,#48a68f,Wuxia,39.5,#48a68f
P15056,BRAF,BRAF,,84,Female,pro-Growth,14,22.0,9.5,#261716,Athlete,44.3,#261716
P15692,VEGFA,L-VEGF,,44,Female,pro-Control,291,26.0,31.9,#574462,Synthwave; Junglecore,68.9,#574462
P16410,CTLA4,CTLA-4,,25,Male,Maintenance,28,81.0,44.5,#a2542b,Paramilitary,40.8,#a2542b
P22301,IL10,IL-10,,21,Female,Maintenance,111,71.0,69.0,#8ab559,Synthwave; Junglecore,27.5,#8ab559
