uniprot_id,gene_symbol,short_name,background_setting,height,Sex,Politics,Skintone Hue ,Skintone Saturation,Skintone Lightness,hexcode,Aesthetics,Age,hexcode
O14727,APAF1,APAF-1,outer space,142,Female,pro-Control,0,51.0,10.9,,,19.0,
O14746,TERT,TP2,indoors,127,Female,Maintenance,263,,17.4,,,32.0,
O15169,AXIN1,hAxin,outdoors,96,Female,pro-Control,0,23.0,49.2,,Minimalism,73.9,
O43524,FOXO3,FOXO3,indoors,71,Female,pro-Control,69,27.0,45.9,,Dark Academia,88.7,
P00533,EGFR,EGFR,outdoors,134,Male,pro-Growth,55,39.0,2.5,,Athlete; Rocketpunk,63.4,
P01106,MYC,bHLHe39,indoors,51,Female,pro-Growth,166,37.0,,,Dark Academia,,
P01116,KRAS,KRAS,outdoors,22,Female,pro-Growth,138,23.0,37.9,,Cargopunk; Abstract Tech,45.0,
P01133,EGF,EGF,outer space,134,Male,Maintenance,55,81.0,39.5,,Synthwave,30.5,
P01137,TGFB1,TGFB1,outer space,44,Female,Opportunist,263,30.0,50.5,,Health Goth; Synthwave; Junglecore,35.1,
P01308,INS,INS,outer space,12,Female,Maintenance,111,87.0,48.7,,Synthwave,100.0,
P01375,TNF,TNF-a,outer space,26,Male,Maintenance,263,83.0,47.2,,Synthwave; Junglecore,33.5,
P02671,FGA,FGA,outer space,95,Female,Maintenance,69,91.0,12.2,,Rocketpunk; Junglecore,51.6,
P04406,GAPDH,GAPDH,outdoors,36,Female,Maintenance,83,27.0,23.7,,Cargopunk; Rocketpunk,26.9,
P04439,HLA-A,HLA-A,outdoors,41,Male,Maintenance,97,28.0,,,Rocketpunk; Stickerbomb,35.9,
P04637,TP53,TP53,indoors,44,Female,pro-Control,263,26.0,42.4,,Dark Academia; Constructivism; Salvagepunk,78.4,
P05019,IGF1,IGF-I,outer space,22,Female,pro-Control,111,44.0,59.3,,Synthwave,73.8,
P05231,IL6,IL-6,outer space,24,Female,Maintenance,111,53.0,43.9,,Synthwave,42.9,
P06400,RB1,Rb,indoors,106,Female,pro-Control,235,20.0,16.8,,Minimalism; Dark Academia,33.5,
P10145,CXCL8,IL-8,outer space,11,Female,Maintenance,28,68.0,53.0,,Synthwave; Junglecore,46.5,
P10415,BCL2,BCL2,indoors,26,Male,pro-Growth,14,40.0,38.6,,Minimalism,44.8,
P14780,MMP9,MMP-9,outer space,78,Female,Maintenance,166,78.0,62.1,,Wuxia,39.5,
P15056,BRAF,BRAF,outdoors,84,Female,pro-Growth,14,22.0,9.5,,Athlete,44.3,
P15692,VEGFA,L-VEGF,outer space,44,Female,pro-Control,291,26.0,31.9,,Synthwave; Junglecore,68.9,
P16410,CTLA4,CTLA-4,outdoors,25,Male,Maintenance,28,81.0,44.5,,Paramilitary,40.8,
P22301,IL10,IL-10,outer space,21,Female,Maintenance,111,71.0,69.0,,Synthwave; Junglecore,27.5,
P25445,FAS,FAS,outdoors,38,Male,pro-Control,69,39.0,69.8,,Spy Fiction; Paramilitary,45.7,
P31749,AKT1,PKB,outdoors,56,Female,pro-Growth,0,14.0,8.4,,Athlete,39.6,
P31751,AKT2,PKB beta,outdoors,56,Female,pro-Growth,0,20.0,7.9,,Athlete,40.1,
P35222,CTNNB1,CTNNB1,outdoors,85,Female,pro-Growth,28,10.0,8.0,,,45.6,
P38936,CDKN1A,MDA-6,indoors,18,Female,Opportunist,28,20.0,73.2,,,100.0,
P42336,PIK3CA,PI3-kinase subunit alpha,outdoors,124,Female,pro-Growth,208,23.0,8.8,,Cargopunk,15.0,
P42345,MTOR,mTOR,indoors,289,Female,pro-Growth,166,34.0,0.1,,Athlete; Cargopunk,19.3,
P42574,CASP3,CASP-3,outdoors,32,Female,Maintenance,28,33.0,53.5,,Wuxia,38.6,
P42771,CDKN2A,CDK4I,outdoors,17,Female,pro-Control,28,71.0,89.6,,,43.6,
P46531,NOTCH1,Notch 1,outer space,273,Male,Opportunist,180,37.0,2.7,,,58.9,
P46937,YAP1,Yes-associated protein 1,outdoors,54,Female,Opportunist,332,21.0,34.3,,,92.9,
P56704,WNT3A,WNT3A,outer space,39,Female,Maintenance,305,93.0,20.7,,Junglecore,29.0,
Q00987,MDM2,Hdm2,outdoors,55,Female,pro-Growth,166,25.0,15.4,,Cargopunk,69.2,
Q01094,E2F1,E2F-1,indoors,47,Female,Opportunist,55,68.0,66.9,,Dark Academia,64.3,
Q02750,MAP2K1,MAP kinase kinase 1,outdoors,43,Female,Maintenance,166,26.0,24.2,,Athlete,31.6,
Q07812,BAX,Bcl2-L-4,outdoors,21,Male,Opportunist,14,24.0,24.5,,Atompunk,25.5,
Q07817,BCL2L1,Bcl2-L-1,outdoors,26,Male,pro-Growth,14,17.0,22.0,,Minimalism; Constructivism,42.1,
Q07820,MCL1,Bcl2-L-3,indoors,37,Male,pro-Growth,166,25.0,50.2,,,58.3,
Q13131,PRKAA1,AMPK subunit alpha-1,outdoors,64,Female,pro-Control,208,20.0,18.0,,Athlete; Cargopunk; Atompunk,41.7,
Q13315,ATM,A-T mutated,indoors,351,Female,pro-Control,0,36.0,42.1,,Athlete; Constructivism; Salvagepunk,20.0,
Q13535,ATR,ATR,indoors,301,Female,pro-Control,0,38.0,2.6,,Athlete; Salvagepunk,16.9,
Q15116,PDCD1,Protein PD-1,outdoors,32,Male,Maintenance,208,82.0,55.4,,Paramilitary,58.7,
Q15465,SHH,SHH,outer space,50,Female,Maintenance,249,79.0,23.4,,Wuxia; Junglecore,62.1,
Q16236,NFE2L2,NF-E2-related factor 2,outdoors,68,Female,Maintenance,180,20.0,58.9,,Dark Academia; Atompunk,100.0,
Q16611,BAK1,Bcl2-L-7,indoors,23,Male,Maintenance,14,32.0,65.9,,Atompunk,27.0,
Q8N726,CDKN2A,ARF,indoors,14,Female,pro-Control,28,71.0,89.6,,,100.0,
Q8TDV0,GPR151,GalRL,outdoors,47,Male,Maintenance,83,,96.0,,Corporate Memphis,35.8,
Q96EB6,SIRT1,hSIRT1,indoors,82,Female,Opportunist,249,23.0,18.1,,Constructivism; Atompunk,54.9,
Q9GZV5,WWTR1,WWTR1,outdoors,44,Female,pro-Growth,305,26.0,76.1,,,92.5,
Q9NZQ7,CD274,PD-L1,outdoors,33,Male,Maintenance,28,56.0,38.6,,Paramilitary,38.6,
Q9UM47,NOTCH3,Notch 3,outer space,244,Male,pro-Control,180,34.0,39.5,,,63.5,
